Credibility Code,Sample Size Code,Precision Code,Abundance Code,Significance,AOU,Region,Species,Region Name,Model,N Routes,Trend,2.5%CI,97.5%CI,Relative Abundance
R,,R,,,1720,S26,Canada Goose,Mississippi Alluvial Valley,Dh,21,4.718,-2.186,11.589,5.616
,,,,1,1720,S27,Canada Goose,Southeastern Coastal Plain,Dh,182,11.919,8.983,14.91,6.981
,,,,1,1720,S28,Canada Goose,Appalachian Mountains,Dh,264,4.18,2.096,6.417,44.431
,,,,,1720,S29,Canada Goose,Piedmont,Dh,134,1.554,-1.119,4.265,62.089
Y,,Y,,,1720,S30,Canada Goose,New England/mid-Atlantic Coast,Dh,119,1.647,-1.833,4.938,203.291
R,Y,R,R,,1720,S31,Canada Goose,Peninsular Florida,Dh,5,6.48,-4.16,18.199,0.082
Y,,Y,,1,1720,S32,Canada Goose,Coastal California,Dh,37,13.049,8.156,18.154,8.433
R,R,R,R,,1720,S34,Canada Goose,Sierra Madre Occidental,Dh,3,-2.487,-14.192,10.299,0.077
R,Y,R,,,1720,S37,Canada Goose,Gulf Coastal Prairie,Dh,5,6.372,-3.535,16.838,1.296
Y,,Y,,1,1720,ALA,Canada Goose,Alabama,Dh,63,13.534,8.849,17.967,7.866
R,,R,,,1720,AK,Canada Goose,Alaska,Dh,58,-0.309,-5.491,6.345,17.892
,,,,1,1720,ALB,Canada Goose,Alberta,Dh,161,5.911,3.074,8.914,66.378
R,R,R,R,,1720,ARI,Canada Goose,Arizona,Dh,3,-2.487,-14.192,10.299,0.077
R,,R,,1,1720,ARK,Canada Goose,Arkansas,Dh,32,9.624,4.235,15.587,3.767
Y,,Y,,,1720,BC,Canada Goose,British Columbia,Dh,119,0.733,-2.373,4.016,46.601
Y,,Y,,,1720,CAL,Canada Goose,California,Dh,87,2.488,-1.495,6.696,16.536
Y,,Y,,,1720,COL,Canada Goose,Colorado,Dh,91,3.59,-0.07,7.278,6.499
R,,R,,,1720,CON,Canada Goose,Connecticut,Dh,16,-0.76,-6.508,5.218,77.801
R,Y,R,,1,1720,DEL,Canada Goose,Delaware,Dh,11,12.54,5.126,20.454,234.255
R,,R,Y,1,1720,FLA,Canada Goose,Florida,Dh,15,9.919,2.099,18.809,0.549
Y,,Y,,1,1720,GA,Canada Goose,Georgia,Dh,83,7.233,3.322,11.299,15.775
R,,R,,1,1720,IA,Canada Goose,Iowa,Dh,33,9,3.984,14.531,33.661
Y,,Y,,1,1720,IDA,Canada Goose,Idaho,Dh,41,4.566,0.6,8.727,8.122
Y,,Y,,1,1720,ILL,Canada Goose,Illinois,Dh,99,7.718,4.726,11.155,40.287
Y,,Y,,1,1720,IND,Canada Goose,Indiana,Dh,63,4.969,1.301,9.152,101.422
R,,R,,1,1720,KAN,Canada Goose,Kansas,Dh,42,7.622,2.729,12.835,9.611
R,,R,,1,1720,KY,Canada Goose,Kentucky,Dh,38,13.705,8.258,19.362,7.88
R,Y,R,,,1720,LA,Canada Goose,Louisiana,Dh,10,6.508,-1.704,15.196,1.332
Y,,Y,,1,1720,MAN,Canada Goose,Manitoba,Dh,83,12.594,8.819,17.029,121.797
Y,,Y,,,1720,MAS,Canada Goose,Massachusetts,Dh,26,1.389,-3.032,6.231,47.014
Y,,Y,,1,1720,MD,Canada Goose,Maryland,Dh,65,5.873,2.35,9.464,279.725
R,,R,,,1720,ME,Canada Goose,Maine,Dh,50,4.051,-1.387,9.618,4.387
Y,,Y,,1,1720,MIC,Canada Goose,Michigan,Dh,77,4.877,1.58,8.3,32.585
Y,,Y,,1,1720,MIN,Canada Goose,Minnesota,Dh,84,6.338,2.995,10.25,166.612
R,,R,,1,1720,MIS,Canada Goose,Mississippi,Dh,26,9.381,1.88,17.188,2.197
Y,,Y,,1,1720,MO,Canada Goose,Missouri,Dh,65,4.453,0.264,8.713,9.442
Y,,Y,,1,1720,MON,Canada Goose,Montana,Dh,85,5.927,2.689,9.36,16.357
R,,R,,1,1720,NB,Canada Goose,New Brunswick,Dh,31,17.656,10.75,25.328,5.754
Y,,Y,,1,1720,NC,Canada Goose,North Carolina,Dh,77,7.641,3.438,11.669,24.895
Y,,Y,,1,1720,ND,Canada Goose,North Dakota,Dh,47,15.359,11.312,19.586,176.746
Y,,Y,,1,1720,NEB,Canada Goose,Nebraska,Dh,46,7.951,3.239,12.985,9.525
R,,R,,,1720,NEV,Canada Goose,Nevada,Dh,18,4.086,-2.025,10.746,26.223
R,,R,,,1720,NF,Canada Goose,Newfoundland,Dh,22,6.686,-0.98,14.672,5.232
Y,,Y,,1,1720,NH,Canada Goose,New Hampshire,Dh,25,5.57,0.695,10.578,16.497
Y,,Y,,,1720,NJ,Canada Goose,New Jersey,Dh,32,0.991,-3.065,5.119,248.825
R,Y,R,,,1720,NM,Canada Goose,New Mexico,Dh,10,5.259,-3.58,14.319,3.297
R,,R,,1,1720,NS,Canada Goose,Nova Scotia,Dh,27,12.887,6.649,19.647,4.578
R,,R,,,1720,NWT,Canada Goose,Northwest Territories,Dh,15,3.815,-4.738,13.286,5.041
Y,,Y,,,1720,NY,Canada Goose,New York,Dh,112,2.1,-1.815,5.935,94.291
Y,,Y,,,1720,OHI,Canada Goose,Ohio,Dh,66,1.402,-1.926,5.022,91.121
R,,R,,1,1720,OKL,Canada Goose,Oklahoma,Dh,29,9.513,4.214,15.58,6.539
,,,,1,1720,ONT,Canada Goose,Ontario,Dh,187,4.901,1.947,7.872,45.429
Y,,Y,,,1720,ORE,Canada Goose,Oregon,Dh,67,-0.689,-4.25,3.065,16.026
,,,,,1720,PA,Canada Goose,Pennsylvania,Dh,107,1.695,-0.825,4.345,130.261
R,R,R,,,1720,PEI,Canada Goose,Prince Edward Island,Dh,4,2.922,-7.189,14.287,2.718
R,,R,,1,1720,QUE,Canada Goose,Quebec,Dh,121,14.27,8.657,19.133,12.022
R,R,R,,,1720,RI,Canada Goose,Rhode Island,Dh,4,4.039,-6.142,15.068,15.085
Y,,Y,,1,1720,SAS,Canada Goose,Saskatchewan,Dh,90,5.607,2.046,9.411,146.633
R,,R,,1,1720,SC,Canada Goose,South Carolina,Dh,30,7.271,1.481,13.559,7.249
R,,R,,,1720,SD,Canada Goose,South Dakota,Dh,44,4.779,-0.241,10.249,40.752
Y,,Y,,1,1720,TEN,Canada Goose,Tennessee,Dh,35,5.648,1.398,10.107,18.415
R,,R,Y,1,1720,TEX,Canada Goose,Texas,Dh,22,14.942,6.834,23.049,0.661
R,,R,,1,1720,UT,Canada Goose,Utah,Dh,40,6.058,1.151,11.386,8.335
Y,,Y,,1,1720,VA,Canada Goose,Virginia,Dh,48,6.377,2.32,10.805,29.573
R,,R,,1,1720,VT,Canada Goose,Vermont,Dh,23,13.597,8.208,19.337,15.211
Y,,Y,,1,1720,WAS,Canada Goose,Washington,Dh,65,5.932,2.08,9.95,8.669
Y,,Y,,1,1720,WIS,Canada Goose,Wisconsin,Dh,93,9.777,6.773,12.909,51.803
Y,,Y,,1,1720,WV,Canada Goose,West Virginia,Dh,42,6.191,1.754,10.92,12.796
Y,,Y,,1,1720,WYO,Canada Goose,Wyoming,Dh,69,5.07,1.349,9.014,17.017
R,,R,,,1720,YT,Canada Goose,Yukon,Dh,23,-0.707,-6.676,5.688,6.609
,,,,1,1720,CAN,Canada Goose,Canada,Dh,883,6.834,5.01,8.954,50.987
,,,,1,1720,US,Canada Goose,United States,Dh,2414,5.734,3.72,7.743,31.525
,,,,1,1720,SUR,Canada Goose,Survey-wide,Dh,3297,6.273,4.781,7.791,39.045
,,,,1,1720,CA1,Canada Goose,Canada (core),Dh,823,6.988,5.121,9.174,63.477
,,,,1,1720,US1,Canada Goose,United States (core),Dh,2356,6.899,5.488,8.816,34.062
,,,,1,1720,SU1,Canada Goose,Survey-wide (core),Dh,3179,6.997,5.756,8.446,44.971
R,R,R,R,,1782,S05,Mute Swan,Northern Pacific Rainforest,Dh,3,1.163,-9.363,13.131,0.032
R,R,R,R,,1782,S12,Mute Swan,Boreal Hardwood Transition,Dh,4,-3.607,-17.016,6.985,0.036
R,Y,R,R,,1782,S13,Mute Swan,Lower Great Lakes/St. Lawrence Plain,Dh,10,1.548,-9.947,14.522,0.051
R,Y,R,R,,1782,S22,Mute Swan,Eastern Tallgrass Prairie,Dh,7,3.31,-4.796,13.199,0.023
Y,,Y,Y,,1782,S23,Mute Swan,Prairie Hardwood Transition,Dh,21,0.245,-4.029,4.59,0.678
R,,R,Y,,1782,S28,Mute Swan,Appalachian Mountains,Dh,14,3.046,-2.898,9.939,0.208
R,,R,,,1782,S30,Mute Swan,New England/mid-Atlantic Coast,Dh,26,0.426,-4.535,6.273,1.829
R,R,R,R,,1782,BC,Mute Swan,British Columbia,Dh,3,1.163,-9.363,13.131,0.032
R,Y,R,Y,,1782,CON,Mute Swan,Connecticut,Dh,6,-0.104,-8.956,8.279,0.275
R,R,R,R,,1782,ILL,Mute Swan,Illinois,Dh,4,3.968,-5.85,16.164,0.004
R,Y,R,Y,,1782,IND,Mute Swan,Indiana,Dh,6,3.046,-4.299,12.704,0.158
R,Y,R,Y,,1782,MAS,Mute Swan,Massachusetts,Dh,8,3.228,-4.402,11.048,0.231
R,Y,R,Y,2,1782,MD,Mute Swan,Maryland,Dh,5,-18.796,-37.638,-5.263,0.252
Y,,Y,Y,,1782,MIC,Mute Swan,Michigan,Dh,22,-0.856,-5.86,3.919,0.322
R,Y,R,Y,2,1782,NJ,Mute Swan,New Jersey,Dh,8,-7.943,-16.287,-0.707,0.216
R,Y,R,,,1782,NY,Mute Swan,New York,Dh,7,0.983,-4.073,6.889,2.454
R,Y,R,R,,1782,ONT,Mute Swan,Ontario,Dh,10,1.548,-9.947,14.522,0.051
R,Y,R,Y,,1782,PA,Mute Swan,Pennsylvania,Dh,6,6.567,-0.773,16.593,0.128
R,Y,R,R,,1782,CAN,Mute Swan,Canada,Dh,13,1.542,-7.152,11.776,0.046
Y,,Y,Y,,1782,US,Mute Swan,United States,Dh,72,0.74,-2.721,4.996,0.406
Y,,Y,Y,,1782,SUR,Mute Swan,Survey-wide,Dh,85,0.819,-2.509,5.029,0.284
R,Y,R,R,,1782,CA1,Mute Swan,Canada (core),Dh,13,1.542,-7.152,11.776,0.046
Y,,Y,Y,,1782,US1,Mute Swan,United States (core),Dh,72,0.74,-2.721,4.996,0.406
Y,,Y,Y,,1782,SU1,Mute Swan,Survey-wide (core),Dh,85,0.819,-2.509,5.029,0.284
Y,,Y,Y,1,1810,S04,Trumpeter Swan,Northwestern Interior Forest,Dh,46,5.152,1.673,9.054,0.539
R,Y,R,Y,,1810,S05,Trumpeter Swan,Northern Pacific Rainforest,Dh,10,0.051,-6.449,5.825,0.196
R,Y,R,R,1,1810,S06,Trumpeter Swan,Boreal Taiga Plains,Dh,11,16.099,3.289,30.269,0.01
R,R,R,R,,1810,S08,Trumpeter Swan,Boreal Softwood Shield,Dh,3,13.187,-3.626,37.191,0.002
R,R,R,R,,1810,S09,Trumpeter Swan,Great Basin,Dh,3,-4.21,-14.216,4.315,0.021
R,,R,R,1,1810,S10,Trumpeter Swan,Northern Rockies,Dh,19,11.796,4.079,23.198,0.033
R,,R,R,1,1810,S11,Trumpeter Swan,Prairie Potholes,Dh,15,18.258,7.864,28.419,0.014
R,,R,R,1,1810,S12,Trumpeter Swan,Boreal Hardwood Transition,Dh,58,21.312,15.538,26.891,0.034
R,Y,R,R,1,1810,S13,Trumpeter Swan,Lower Great Lakes/St. Lawrence Plain,Dh,7,16.397,4.983,32.822,0.004
R,Y,R,Y,,1810,S19,Trumpeter Swan,Central Mixed Grass Prairie,Dh,6,3.859,-3.82,12.766,0.265
R,,R,R,1,1810,S23,Trumpeter Swan,Prairie Hardwood Transition,Dh,26,18.877,12.295,26.205,0.082
Y,,Y,Y,,1810,AK,Trumpeter Swan,Alaska,Dh,33,3.421,-0.065,7.235,0.691
R,Y,R,R,,1810,ALB,Trumpeter Swan,Alberta,Dh,11,0.276,-11.148,12.271,0.008
R,Y,R,R,1,1810,BC,Trumpeter Swan,British Columbia,Dh,6,24.014,10.55,39.668,0.002
R,R,R,R,1,1810,IA,Trumpeter Swan,Iowa,Dh,3,24.3,9.759,46.707,0.004
R,Y,R,R,1,1810,MAN,Trumpeter Swan,Manitoba,Dh,8,25.202,13.836,39.733,0.018
R,,R,R,1,1810,MIC,Trumpeter Swan,Michigan,Dh,16,17.527,8.741,28.253,0.021
R,,R,Y,1,1810,MIN,Trumpeter Swan,Minnesota,Dh,43,21.668,15.524,28.36,0.116
R,Y,R,R,,1810,MON,Trumpeter Swan,Montana,Dh,5,2.402,-4.204,9.934,0.097
R,Y,R,Y,,1810,NEB,Trumpeter Swan,Nebraska,Dh,6,3.859,-3.82,12.766,0.265
R,,R,R,1,1810,ONT,Trumpeter Swan,Ontario,Dh,18,15.628,1.244,27.82,0.004
R,R,R,R,,1810,ORE,Trumpeter Swan,Oregon,Dh,3,-4.21,-14.216,4.315,0.021
R,,R,R,1,1810,WIS,Trumpeter Swan,Wisconsin,Dh,21,21.271,13.74,30.307,0.034
R,Y,R,R,1,1810,WYO,Trumpeter Swan,Wyoming,Dh,10,15.315,8.071,24.335,0.034
R,,R,Y,1,1810,YT,Trumpeter Swan,Yukon,Dh,21,14.8,7.078,24.808,0.191
R,,R,R,1,1810,CAN,Trumpeter Swan,Canada,Dh,64,16.313,8.206,24.804,0.044
Y,,,Y,1,1810,US,Trumpeter Swan,United States,Dh,140,5.25,2.462,8.235,0.376
Y,,Y,Y,1,1810,SUR,Trumpeter Swan,Survey-wide,Dh,204,7.627,4.422,12.439,0.197
R,,R,R,1,1810,CA1,Trumpeter Swan,Canada (core),Dh,43,17.379,7.053,27.685,0.007
R,,Y,R,1,1810,US1,Trumpeter Swan,United States (core),Dh,107,10.465,6.608,14.318,0.093
R,,R,R,1,1810,SU1,Trumpeter Swan,Survey-wide (core),Dh,150,12.973,7.71,19.829,0.04
Y,,Y,,,1800,S02,Tundra Swan,Western Alaska,D,14,-0.017,-4.023,2.462,4.289
R,Y,R,,,1800,S03,Tundra Swan,Arctic Plains and Mountains,D,5,0.703,-0.884,17.042,2.068
Y,Y,Y,Y,,1800,S04,Tundra Swan,Northwestern Interior Forest,D,10,-0.038,-6.361,1.556,0.169
R,Y,R,,,1800,S06,Tundra Swan,Boreal Taiga Plains,D,5,0.072,-2.025,11.834,3.524
Y,,Y,,,1800,AK,Tundra Swan,Alaska,D,29,0.042,-1.906,4.566,1.566
R,Y,R,,,1800,NWT,Tundra Swan,Northwest Territories,D,5,0.072,-2.025,11.834,3.524
R,Y,R,,,1800,CAN,Tundra Swan,Canada,D,5,0.072,-2.025,11.834,3.524
Y,,Y,,,1800,US,Tundra Swan,United States,D,29,0.042,-1.906,4.566,1.566
Y,,Y,,,1800,SUR,Tundra Swan,Survey-wide,D,34,0.114,-1.303,5.933,2.234
Y,,,Y,,1440,S05,Wood Duck,Northern Pacific Rainforest,Dh,56,-1.2,-3.202,0.997,0.141
Y,Y,Y,Y,1,1440,S06,Wood Duck,Boreal Taiga Plains,Dh,13,3.512,0.091,7.159,0.157
R,Y,Y,R,,1440,S08,Wood Duck,Boreal Softwood Shield,Dh,5,-0.349,-4.404,3.593,0.024
R,,,R,,1440,S09,Wood Duck,Great Basin,Dh,42,0.519,-1.699,2.929,0.081
R,,,R,,1440,S10,Wood Duck,Northern Rockies,Dh,31,-1.315,-3.908,1.323,0.046
Y,,,Y,1,1440,S11,Wood Duck,Prairie Potholes,Dh,130,1.572,0.011,3.074,0.476
Y,,,Y,,1440,S12,Wood Duck,Boreal Hardwood Transition,Dh,157,0.28,-1.098,1.654,0.427
Y,,,Y,,1440,S13,Wood Duck,Lower Great Lakes/St. Lawrence Plain,Dh,136,0.571,-0.755,1.896,0.599
Y,,,Y,,1440,S14,Wood Duck,Atlantic Northern Forest,Dh,132,0.593,-0.915,2.081,0.157
R,Y,Y,R,,1440,S15,Wood Duck,Sierra Nevada,Dh,5,0.381,-4.062,4.987,0.069
R,,,R,,1440,S17,Wood Duck,Badlands and Prairies,Dh,29,0.999,-1.514,3.879,0.065
R,Y,Y,R,,1440,S18,Wood Duck,Shortgrass Prairie,Dh,8,-0.575,-4.229,3.646,0.028
Y,,,Y,1,1440,S19,Wood Duck,Central Mixed Grass Prairie,Dh,71,2.277,0.176,4.489,0.251
Y,,,Y,,1440,S21,Wood Duck,Oaks and Prairies,Dh,32,0.758,-2.015,3.558,0.165
Y,,,Y,,1440,S22,Wood Duck,Eastern Tallgrass Prairie,Dh,213,-0.108,-1.175,0.972,0.556
,,,,,1440,S23,Wood Duck,Prairie Hardwood Transition,Dh,132,-0.104,-1.55,1.275,1.91
Y,,,Y,,1440,S24,Wood Duck,Central Hardwoods,Dh,110,-0.576,-1.928,0.771,0.452
Y,,,Y,,1440,S25,Wood Duck,West Gulf Coastal Plain/ouachitas,Dh,62,-1.57,-3.512,0.357,0.518
,,,,,1440,S26,Wood Duck,Mississippi Alluvial Valley,Dh,50,-1.88,-3.857,0.059,2.013
Y,,,Y,,1440,S27,Wood Duck,Southeastern Coastal Plain,Dh,232,-0.229,-1.291,0.899,0.697
Y,,,Y,,1440,S28,Wood Duck,Appalachian Mountains,Dh,237,-0.476,-1.549,0.552,0.346
Y,,,Y,,1440,S29,Wood Duck,Piedmont,Dh,99,0.119,-1.373,1.761,0.23
Y,,,Y,,1440,S30,Wood Duck,New England/mid-Atlantic Coast,Dh,96,1.111,-0.306,2.746,0.465
Y,,,Y,2,1440,S31,Wood Duck,Peninsular Florida,Dh,36,-3.915,-6.799,-1.198,0.545
Y,,,Y,,1440,S32,Wood Duck,Coastal California,Dh,29,-2.068,-4.975,0.63,0.316
Y,,Y,Y,1,1440,S37,Wood Duck,Gulf Coastal Prairie,Dh,17,3.702,0.403,7.788,0.276
Y,,,Y,,1440,ALA,Wood Duck,Alabama,Dh,79,-1.405,-3.245,0.479,0.535
R,R,R,R,,1440,ALB,Wood Duck,Alberta,Dh,2,-1.094,-6.68,4.277,0.004
Y,,,Y,,1440,ARK,Wood Duck,Arkansas,Dh,37,-1,-3.314,1.378,0.708
R,,Y,R,,1440,BC,Wood Duck,British Columbia,Dh,22,-1.481,-4.688,1.575,0.059
Y,,,Y,,1440,CAL,Wood Duck,California,Dh,51,-1.135,-3.261,1.063,0.234
R,R,R,R,,1440,COL,Wood Duck,Colorado,Dh,3,-2.652,-9.038,2.254,0.012
Y,,Y,Y,,1440,CON,Wood Duck,Connecticut,Dh,15,0.985,-2.125,4.576,0.548
Y,Y,Y,Y,,1440,DEL,Wood Duck,Delaware,Dh,11,1.406,-2.036,5.287,0.522
Y,,,Y,,1440,FLA,Wood Duck,Florida,Dh,64,-1.814,-3.767,0.224,0.545
Y,,,Y,,1440,GA,Wood Duck,Georgia,Dh,78,-0.437,-2.334,1.325,0.706
Y,,,Y,,1440,IA,Wood Duck,Iowa,Dh,29,0.47,-2.121,3.021,0.52
R,Y,Y,R,,1440,IDA,Wood Duck,Idaho,Dh,6,0.243,-3.454,4.206,0.08
Y,,,Y,,1440,ILL,Wood Duck,Illinois,Dh,89,-0.684,-2.418,0.942,0.532
Y,,,Y,,1440,IND,Wood Duck,Indiana,Dh,59,-0.764,-2.564,0.926,0.958
Y,,,Y,,1440,KAN,Wood Duck,Kansas,Dh,44,1.095,-1.36,3.631,0.348
Y,,,Y,,1440,KY,Wood Duck,Kentucky,Dh,38,0.378,-2.014,2.88,0.502
,,,,,1440,LA,Wood Duck,Louisiana,Dh,58,-1.044,-3.241,1.246,1.023
Y,,,Y,1,1440,MAN,Wood Duck,Manitoba,Dh,54,3.54,1.455,5.692,0.292
Y,,Y,Y,1,1440,MAS,Wood Duck,Massachusetts,Dh,24,3.844,0.916,7.218,0.588
Y,,,Y,,1440,MD,Wood Duck,Maryland,Dh,55,0.104,-1.77,2.05,0.496
R,,Y,R,,1440,ME,Wood Duck,Maine,Dh,27,-1.131,-4.467,2.125,0.073
Y,,,Y,,1440,MIC,Wood Duck,Michigan,Dh,58,0.834,-1.136,2.825,0.743
,,,,,1440,MIN,Wood Duck,Minnesota,Dh,74,-0.15,-1.828,1.595,1.847
